Name;WKN
"1&#38;1 Drillisch";554550
3M CO;851745
Aareal Bank;540811
AbbVie;A1J84E
ACTIVISION BLIZZARD;A0Q4K4
ADIDAS;A1EWWW
ADLER Real Estate;500800
ADO PROPERTIES S.A. NPV;A14U78
Adobe Systems;871981
ADVA Optical Networking;510300
Advanced Micro Devices;863186
Adyen;A2JNF4
Airbus Group;938914
AIXTRON;A0WMPJ
Alexion Pharma;899527
Alibaba Group ADR;A117ME
ALLIANZ;840400
Alphabet;A14Y6H
Alphabet A;A14Y6F
alstria office REIT 1001;A0LD2U
BASF;BASF11
BAYER;BAY001
BMW;519000
BayWa Vink.;519406
Bechtle;515870
Befesa;A2H5Z1
BEIERSDORF;520000
"Berkshire Hathaway &#39;B&#39;";A0YJQ2
Bertrandt;523280
Bilfinger SE;590900
Biogen Idec;789617
Biotest Vz;522723
Blackrock;928193
Boeing;850471
Booking Holdings;A2JEXP
Borussia Dortmund (BVB);549309
BP PLC;850517
BRENNTAG;A1DAHH
Bristol-Myers Squibb;850501
BRIT AMER TOBACCO;916018
Broadcom Inc.;A2JG9Z
Cancom;541910
Carl Zeiss Meditec;531370
Carnival;120071
Caterpillar;850598
CECONOMY;725750
"CEWE Stiftung &#38; Co.";540390
Charter Communications;A2AJX9
Chevron Corp;852552
"Church &#38; Dwight";864371
Cisco Systems;878841
CLOUDFLARE INC. A DL-,001;A2PQMN
Coca-Cola;850663
Colgate-Palmolive;850667
Comcast Corp;157484
CompuGroup Medical SE;A28890
Constellation Software;A0JM27
CONTINENTAL;543900
Corestate Capital;A141J3
Costco Wholesale;888351
COVESTRO AG O.N.;606214
Crown Castle Intl;A12GN3
"CTS Eventim &#38; Co.";547030
CVS Health;859034
Daimler;710000
Danaher;866197
"Deere &#38; Co";850866
Delivery Hero;A2E4K4
Dermapharm Hldg.;A2GS5D
DEUTSCHE BANK;514000
Deutsche Beteiligung;A1TNUT
DEUTSCHE BOERSE;581005
DEUTSCHE EUROSHOP;748020
DEUTSCHE LUFTHANSA;823212
Dt Pfandbriefbank;801900
DEUTSCHE POST;555200
Deutsche Telekom;555750
Deutsche Wohnen;A0HN5C
Deutz;630500
Diageo;851247
Dialog Semiconductor;927200
DIC Asset;A1X3XX
Digital Realty Trust;A0DLFT
DMG Mori;587800
DocuSign;A2JHLZ
Dr. Hönle;515710
"Drägerwerk &#38; Co. Vz";555063
Dürr;556520
DWS Group;DWS100
E.ON;ENAG99
eBay;916529
"Eckert &#38; Ziegler Strahlen";565970
Ecolab;854545
Electronic Arts;878372
ElringKlinger;785602
Encavis;609500
ENEL;928624
Evonik Industries;EVNK01
Evotec;566480
Expedia Group;A1JRLJ
Exxon Mobil;852549
Facebook;A1JWVX
FactSet Research Systems;901629
Fastenal;887891
Fielmann;577220
Fiserv;881793
FRAPORT;577330
freenet;A0Z2ZZ
FRESENIUS MED. CARE;578580
FRESENIUS;578560
FUCHS PETROLUB PRF;579043
Gazprom PJSC ADR;903276
GEA GROUP;660200
General Electric;851144
General Mills;853862
Gerresheimer;A0LD6E
GFT Technologies;580060
Gilead Sciences;885823
Goldman Sachs Group;920332
Grammer;589540
Grand City Properties;A1JXCV
GRENKE;A161N3
Hamborner REIT;601300
Hamburger HafenLog;A0S848
Hannover Rueck;840221
HAPAG-LLOYD AG NA O.N.;HLAG47
HeidelbergCement AG;604700
Heidelberger Druck;731400
"HELLA GmbH &#38; Co KgaA";A13SX2
Hellofresh;A16140
HENKEL Vz;604843
"Henkel &#38; Co.";604840
HOCHTIEF;607000
Home Depot;866953
Hormel Foods;850875
Hornbach Hldg;608340
Hugo Boss;A1PHFF
Hypoport;549336
Illinois Tool Works;861219
Illumina;927079
Imperial Brands;903000
INDUS Holding;620010
Infineon Technologies;623100
ING Groep;A2ANV3
Instone Real Estate;A2NBX8
Intel Corp;855681
IBM;851399
Intuit;886053
Intuitive Surgical;888024
ISRA VISION;548810
JENOPTIK;A2NB60
"Johnson &#38; Johnson";853260
JOST Werke;JST400
JPMorgan Chase;850628
Jungheinrich Vz;621993
K+S;KSAG88
KION GROUP;KGX888
"KLOECKNER &#38; CO";KC0100
KNORR-BREMSE AG INH O.N.;KBX100
"Koenig &#38; Bauer";719350
Ahold Delhaize;A2ANT0
PHILIPS;940602
Kraft Heinz;A14TU4
Krones;633500
KWS SAAT;707400
Lam Research;869686
Lanxess;547040
LEG Immobilien;LEG111
Leoni;540888
LINDE PLC EO 0,001;A2DSYC
Lockheed Martin;894648
"LPKF Laser &#38; Electronics";645000
LTC Properties;884625
LVMH Moët Henn. L. Vuitton;853292
MasterCard;A0F602
"McDonald&#39;s";856958
Medigene;A1X3W0
Medtronic;A14M2J
Mercadolibre;A0MYNP
"Merck &#38; Co";A0YD8Q
MERCK KGAA;659990
Metro AG;BFB001
Micron Technology;869020
Microsoft;870747
Mondelez International;A1J4U0
MorphoSys;663200
MTU Aero Engines;A0D9PT
Münchener Rück;843002
Nemetschek;645290
Netflix;552484
New Work;NWRK01
Nextera Energy;A1CZ4H
"NIKE &#39;B&#39;";866993
NOKIA;870737
Nordex;A0D655
NORMA Group;A1H8BV
Novo-Nordisk B;A1XA8R
Nvidia Corporation;918422
OSRAM Licht;LED400
PATRIZIA Immobilien;PAT1AG
PayPal Holdings;A14R7U
PepsiCo;851995
Pfeiffer Vacuum Techn.;691660
Pfizer Inc;852009
"Ping An Insurance &#39;H&#39;";A0M4YR
"Procter &#38; Gamble";852062
ProSiebenSat.1 Media;PSM777
PUMA;696960
QIAGEN;A2DKCH
QUALCOMM;883121
RATIONAL;701080
Raytheon Technologies;A2PZ0R
Realty Income;899744
Rheinmetall;703000
RHOEN KLINIKUM;704230
RIB Software;A0Z2XN
RIO TINTO;852147
Rocket Internet;A12UKK
Royal Dutch Shell A;A0D94M
"Royal Dutch Shell &#39;B&#39;";A0ER6S
Altria Group;200417
AMADEUS FIRE;509310
Amazon Com;906866
American Express;850226
American Tower;A1JRLA
American Water Works;A0NJ38
Amgen;867900
Analog Devices;862485
AB InBev;A2ASUV
Apple;865985
Applied Materials;865177
Aroundtown;A2DW8Z
ASML Holding;A1J4U4
"AT&#38;T Inc";A0HL9Z
ATOSS Software;510440
AUMANN AG INH O.N.;A2DAM0
AURUBIS;676650
Autodesk;869964
Automatic Data Process;850347
AXEL SPRINGER;550135
SNP Schneider-Neureither;720370
Software;A2GS40
Southern;852523
Splunk;A1JV4H
Stabilus;A113Q5
Starbucks;884437
STEINHOFF INT.HLDG.EO-,50;A14XB9
STRATEC Biomedical;STRA55
Ströer Media;749399
Stryker Corp.;864952
SUEDZUCKER;729700
Symrise;SYM999
Synopsys;883703
TAG Immobilien;830350
Taiwan Semiconductor Manufact. ADR;909800
TAKKT;744600
Talanx;TLX100
TEAMVIEWER AG INH O.N.;A2YN90
Tele Columbus;TCAG17
Telefónica Dtl.;A1J5RX
TELEFÓNICA;850775
Tencent Holdings;A1138D
Tesla;A1CX3T
Texas Instruments;852654
Thermo Fisher Scientific;857209
thyssenkrupp AG;750000
TLG Immobilien;A12B8Z
Tomra Systems;872535
Traton;TRAT0N
Twitter;A1W6XZ
Unilever;A0JMQ9
Union Pacific;858144
Uniper;UNSE01
UNITED INTERNET;508903
UnitedHealth Group;869561
Varta;A0TGJ5
Veeva System;A1W5SA
Veolia Environnement;501451
Verizon Communications;868402
Vertex Pharma;882807
Visa;A0NC7B
VODAFONE GROUP;A1XA83
Volkswagen VZ;766403
Vonovia SE;A1ML7J
Vossloh;766710
Wacker Chemie;WCH888
Wacker Neuson;WACK01
Wal-Mart Stores;860853
Walgreens Boots Alliance;A12HJF
Walt Disney Company (The);855686
WashTec;750750
Waste Management;893579
Western Digital;863060
"Wüstenrot &#38; Württemb.";805100
Wynn Resorts;663244
XIAOMI CORP. CL.B;A2JNY1
Xilinx;880135
Yum! Brands;909190
Zalando;111 ZAL
ZEAL Network;ZEAL24
zooplus;511170
RTL Group;861149
RWE;703712
"S &#38; T";A0X9EJ
SAF-HOLLAND;SAFH00
Salesforce.com;A0B87V
SALZGITTER;620200
Samsung Electronics Pref. ADR;881823
SAP SE;716460
Sartorius Vz;716563
SCHAEFFLER AG INH. VZO;SHA015
SCOUT24 AG NA O.N.;A12DM8
SGL CARBON;723530
SHOP APOTHEKE EUROPE INH.;A2AR94
Siemens;723610
Siemens Healthineers;SHL100
SILTRONIC AG NA O.N.;WAF300
Sixt SE;723132
Sixt SE Vz;723133
SLM Solutions Grp;A11133
SMA Solar Technology;A0DJ6J